timestamp,ambient_light,backscatter,pressure,water_temp,battery,sensor
2023-08-22 14:06:58,14785,10215,8193,2669,413,305
2023-08-22 14:07:03,10352,10487,8084,2653,546,305
2023-08-22 14:07:05,16493,10486,7991,2641,751,305
2023-08-22 14:07:22,16422,10479,7999,2642,754,305
2023-08-22 14:07:23,16518,10483,8001,2643,752,305
2023-08-22 14:07:24,16013,10478,8004,2643,753,305
2023-08-22 14:07:25,16009,10475,8003,2643,753,305
2023-08-22 14:07:26,16006,10478,8003,2643,754,305
2023-08-22 14:07:27,16252,10476,7999,2643,754,305
2023-08-22 14:07:28,16748,10481,8000,2643,754,305
2023-08-22 14:07:29,15929,10477,8003,2643,754,305
2023-08-22 14:07:30,15910,10483,8003,2643,754,305
2023-08-22 14:07:31,15923,10481,8005,2644,754,305
2023-08-22 14:07:32,15974,10485,8002,2644,754,305
2023-08-22 14:07:33,15921,10484,8002,2644,754,305
2023-08-22 14:07:34,15779,10480,8006,2645,754,305
2023-08-22 14:07:35,15808,10484,8008,2646,754,305
2023-08-22 14:07:35,14833,10475,8011,2646,753,305
2023-08-22 14:07:36,14636,10471,7964,2640,694,305
2023-08-22 14:07:37,15068,10476,8005,2646,577,305
2023-08-22 14:07:38,15153,10469,8033,2647,559,305
2023-08-22 14:07:41,16825,10480,8000,2645,752,305
2023-08-22 14:08:44,65535,10060,8089,2699,756,305
2023-08-22 14:13:44,65535,10005,7504,2536,393,305
2023-08-22 14:18:44,32728,3060,8484,2098,401,305
2023-08-22 14:23:44,35465,3066,8478,2059,401,305
2023-08-22 14:28:44,18326,3078,8469,2045,400,305
2023-08-22 14:33:44,35424,3086,8485,2035,399,305
2023-08-22 14:38:44,43379,3086,8469,2029,398,305
2023-08-22 14:43:44,40449,3083,8473,2028,397,305
2023-08-22 14:48:44,35484,3076,8471,2023,398,305
2023-08-22 14:53:44,34826,3068,8467,2018,398,305
2023-08-22 14:58:44,30491,3072,8480,2012,399,305
2023-08-22 15:03:44,27932,3079,8479,2008,398,305
2023-08-22 15:08:44,29159,3077,8471,2003,398,305
2023-08-22 15:13:44,27204,3069,8480,1999,399,305
2023-08-22 15:18:44,26002,3098,8472,1994,398,305
2023-08-22 15:23:44,23256,3073,8483,1989,399,305
2023-08-22 15:28:44,19966,3072,8482,1983,399,305
2023-08-22 15:33:44,21349,3071,8485,1977,399,305
2023-08-22 15:38:44,16692,3070,8483,1971,399,305
2023-08-22 15:43:44,17073,3071,8477,1966,399,305
2023-08-22 15:48:44,20449,3073,8478,1962,400,305
2023-08-22 15:53:44,19711,3076,8484,1957,399,305
2023-08-22 15:58:44,19730,3073,8476,1954,399,305
2023-08-22 16:03:44,18955,3080,8466,1950,397,305
